id,atividade,carga_maxima
1,"Participação no CACIC: coordenador (a) geral; membro de comissão de assuntos acadêmicos; membro de comissão de eventos; secretário (a); tesoureiro (a)",50h/ano máximo de 100 horas
2,"TecnoJr: presidente; conselheiro; diretor ou trainee",50h/ano
3,"SINFORM: apoio ao evento (alunos não CACIC)",30h/evento
4,"SINFORM: instrutor de minicurso à comunidade",30h/minicurso
5,"Manutenção não remunerada dos laboratórios da computação",30h/semestre
6,"Participação em eventos científicos relacionados à computação",80h
7,"Orientando em projeto de Iniciação Científica",50h/projeto
8,"Participação em projetos de extensão",50h/projeto
9,"Atividades voluntárias ligadas à computação",50h/ano
10,"Atividades especiais apreciadas e aprovadas pelo COLCIC",50h/ano/atividade
11,"Monitoria na UESC",80h
12,"Atividades de estágio não curricular",80h
